,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0013132572174072265,0.000632076690852913,0.00040941238403320314,0.00012936662405900766,0.01,0,0.05,linear,"{'C': 0.01, 'degree': 0, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
157,0.0010271787643432618,1.1148739306093377e-05,0.00036847591400146484,1.924445594795757e-05,0.07,1,0.15,poly,"{'C': 0.07, 'degree': 1, 'gamma': 0.15, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
94,0.0010727643966674805,4.8139332590807326e-05,0.0003707408905029297,2.3515131511309225e-05,0.03,5,0.2,linear,"{'C': 0.03, 'degree': 5, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
158,0.0010068178176879882,3.988700075256735e-05,0.0003581047058105469,1.5415194718384904e-05,0.07,1,0.2,linear,"{'C': 0.07, 'degree': 1, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
92,0.001351475715637207,0.00028590905597657753,0.0004744529724121094,9.500440405096131e-05,0.03,5,0.15,linear,"{'C': 0.03, 'degree': 5, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
159,0.0010162353515625,8.519386770081173e-06,0.0003609418869018555,1.3366949916528797e-05,0.07,1,0.2,poly,"{'C': 0.07, 'degree': 1, 'gamma': 0.2, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
90,0.0010454654693603516,2.6084125780109164e-05,0.0003590583801269531,8.729506705696447e-06,0.03,5,0.1,linear,"{'C': 0.03, 'degree': 5, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
160,0.0010044336318969726,3.336283618022789e-05,0.00035541057586669923,2.055219319939069e-05,0.07,2,0.05,linear,"{'C': 0.07, 'degree': 2, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
88,0.0010618925094604491,4.185240374721294e-05,0.00037257671356201173,2.7532969370591403e-05,0.03,5,0.05,linear,"{'C': 0.03, 'degree': 5, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
162,0.0010207414627075196,4.6323699174016525e-05,0.00035352706909179686,1.4145999364514127e-05,0.07,2,0.1,linear,"{'C': 0.07, 'degree': 2, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
86,0.0010561227798461914,2.9137062271343154e-05,0.00036101341247558595,8.578299150790185e-06,0.03,4,0.2,linear,"{'C': 0.03, 'degree': 4, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
164,0.0009989261627197266,3.454006416656043e-05,0.00035352706909179686,1.1839973220314743e-05,0.07,2,0.15,linear,"{'C': 0.07, 'degree': 2, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
84,0.0010636568069458008,2.8573061721916148e-05,0.0003690481185913086,2.0479434292638827e-05,0.03,4,0.15,linear,"{'C': 0.03, 'degree': 4, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
166,0.0010266304016113281,7.148503108168114e-05,0.00036439895629882815,1.880522669774585e-05,0.07,2,0.2,linear,"{'C': 0.07, 'degree': 2, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
96,0.0010586261749267578,3.758626365057994e-05,0.0003614187240600586,1.162712925198955e-05,0.05,0,0.05,linear,"{'C': 0.05, 'degree': 0, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
82,0.0010594844818115235,2.9823448322789248e-05,0.0003684043884277344,2.0490353502390963e-05,0.03,4,0.1,linear,"{'C': 0.03, 'degree': 4, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
80,0.00118560791015625,4.073774757239384e-05,0.0003863334655761719,1.440813795798837e-05,0.03,4,0.05,linear,"{'C': 0.03, 'degree': 4, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
170,0.0009979009628295898,3.46582635481063e-05,0.00034606456756591797,1.135846229106004e-05,0.07,3,0.1,linear,"{'C': 0.07, 'degree': 3, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
78,0.0013164520263671876,0.00016894849914356183,0.00044333934783935547,7.086923585275013e-05,0.03,3,0.2,linear,"{'C': 0.03, 'degree': 3, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
172,0.0010049581527709962,2.8056194377082264e-05,0.00036802291870117185,3.4957595184597256e-05,0.07,3,0.15,linear,"{'C': 0.07, 'degree': 3, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
76,0.0014587163925170899,0.00024061039638871885,0.0004889726638793946,8.5365934555577e-05,0.03,3,0.15,linear,"{'C': 0.03, 'degree': 3, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
174,0.00099637508392334,3.028750304663039e-05,0.00035707950592041017,1.2195780345077507e-05,0.07,3,0.2,linear,"{'C': 0.07, 'degree': 3, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
74,0.0010751247406005859,5.783360513512502e-05,0.0003566741943359375,1.0402265721631713e-05,0.03,3,0.1,linear,"{'C': 0.03, 'degree': 3, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
72,0.0010660409927368164,3.054439774349559e-05,0.0003707408905029297,1.3045222396934713e-05,0.03,3,0.05,linear,"{'C': 0.03, 'degree': 3, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
176,0.0009893417358398438,3.490975605845967e-05,0.0003513813018798828,1.4552441979649735e-05,0.07,4,0.05,linear,"{'C': 0.07, 'degree': 4, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
70,0.001067948341369629,4.2906607957229676e-05,0.0003748178482055664,1.7209610595718874e-05,0.03,2,0.2,linear,"{'C': 0.03, 'degree': 2, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
178,0.0010397911071777343,8.524854920043993e-05,0.0003713846206665039,2.7716926338507248e-05,0.07,4,0.1,linear,"{'C': 0.07, 'degree': 4, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
68,0.0010437965393066406,2.8225980763638893e-05,0.0003610372543334961,1.6356296492809597e-05,0.03,2,0.15,linear,"{'C': 0.03, 'degree': 2, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
180,0.0010047674179077149,4.273589684403974e-05,0.00035598278045654295,2.2628535812240616e-05,0.07,4,0.15,linear,"{'C': 0.07, 'degree': 4, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
168,0.00099637508392334,2.952916850418786e-05,0.0003539085388183594,8.989487081545815e-06,0.07,3,0.05,linear,"{'C': 0.07, 'degree': 3, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
156,0.0010016918182373046,4.244710535106032e-05,0.0003547191619873047,1.1982662571634346e-05,0.07,1,0.15,linear,"{'C': 0.07, 'degree': 1, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
98,0.0011201620101928711,0.0001323547001454757,0.0003849029541015625,5.4566736807037595e-05,0.05,0,0.1,linear,"{'C': 0.05, 'degree': 0, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
155,0.0010439395904541016,1.8567037236996395e-05,0.00036113262176513673,1.5767401344667373e-05,0.07,1,0.1,poly,"{'C': 0.07, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
128,0.0010461091995239257,3.7972835106066725e-05,0.00035860538482666013,1.2717994336145955e-05,0.05,4,0.05,linear,"{'C': 0.05, 'degree': 4, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
134,0.001069021224975586,3.477918304920234e-05,0.0003596305847167969,1.1958159483089488e-05,0.05,4,0.2,linear,"{'C': 0.05, 'degree': 4, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
126,0.0010468244552612304,3.4783963367768475e-05,0.0003550291061401367,1.2944372419774363e-05,0.05,3,0.2,linear,"{'C': 0.05, 'degree': 3, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
136,0.001067209243774414,5.061192365875015e-05,0.00036728382110595703,2.0703259592368053e-05,0.05,5,0.05,linear,"{'C': 0.05, 'degree': 5, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
124,0.0010600566864013671,4.200307472233331e-05,0.00035953521728515625,1.4852539847279446e-05,0.05,3,0.15,linear,"{'C': 0.05, 'degree': 3, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
138,0.0010482549667358398,3.53191274526763e-05,0.0003556251525878906,1.6221997318794595e-05,0.05,5,0.1,linear,"{'C': 0.05, 'degree': 5, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
122,0.0010796785354614258,9.585608521019217e-05,0.00035734176635742186,1.685799760350384e-05,0.05,3,0.1,linear,"{'C': 0.05, 'degree': 3, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
140,0.00104217529296875,4.116237214897998e-05,0.00035586357116699217,1.391032967039045e-05,0.05,5,0.15,linear,"{'C': 0.05, 'degree': 5, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
120,0.001095724105834961,8.374466081520157e-05,0.000373387336730957,3.513054682412792e-05,0.05,3,0.05,linear,"{'C': 0.05, 'degree': 3, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
238,0.0010291099548339843,6.99891698341028e-05,0.0003561258316040039,1.6421502595982557e-05,0.1,5,0.2,linear,"{'C': 0.1, 'degree': 5, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
118,0.0010343074798583984,3.971624179454954e-05,0.0003569364547729492,2.2753290696608973e-05,0.05,2,0.2,linear,"{'C': 0.05, 'degree': 2, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
142,0.0010465860366821289,4.197874182514133e-05,0.00035707950592041017,1.844319893340805e-05,0.05,5,0.2,linear,"{'C': 0.05, 'degree': 5, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
116,0.0010337114334106445,3.8906676085393544e-05,0.0003524303436279297,1.1335694021099378e-05,0.05,2,0.15,linear,"{'C': 0.05, 'degree': 2, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
144,0.0010104894638061524,3.406984811025227e-05,0.000358128547668457,1.6037065822697657e-05,0.07,0,0.05,linear,"{'C': 0.07, 'degree': 0, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
114,0.0010537147521972657,3.8928899152810215e-05,0.00035851001739501954,1.861988047088458e-05,0.05,2,0.1,linear,"{'C': 0.05, 'degree': 2, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
146,0.0011052131652832032,0.00022293404935801398,0.0003928661346435547,7.515457361542356e-05,0.07,0,0.1,linear,"{'C': 0.07, 'degree': 0, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
112,0.0010407686233520508,3.4510304881850784e-05,0.00036230087280273435,2.027488943423795e-05,0.05,2,0.05,linear,"{'C': 0.05, 'degree': 2, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
111,0.001044917106628418,5.18150057610395e-05,0.00036542415618896485,1.3294289238474273e-05,0.05,1,0.2,poly,"{'C': 0.05, 'degree': 1, 'gamma': 0.2, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
110,0.001063084602355957,3.21220618122356e-05,0.00036540031433105467,1.669924303626085e-05,0.05,1,0.2,linear,"{'C': 0.05, 'degree': 1, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
109,0.0011522769927978516,0.00017703863058855053,0.0004208087921142578,7.196671820165289e-05,0.05,1,0.15,poly,"{'C': 0.05, 'degree': 1, 'gamma': 0.15, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
108,0.0012931108474731445,0.0002814980822017081,0.00042285919189453123,8.246348250462325e-05,0.05,1,0.15,linear,"{'C': 0.05, 'degree': 1, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
148,0.0009980916976928711,2.8348370092842162e-05,0.0003547191619873047,1.4721377143866745e-05,0.07,0,0.15,linear,"{'C': 0.07, 'degree': 0, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
106,0.00105593204498291,4.182563889191184e-05,0.00036568641662597655,1.1188311010984499e-05,0.05,1,0.1,linear,"{'C': 0.05, 'degree': 1, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
150,0.0010002374649047852,3.612730696989746e-05,0.0003717899322509766,3.552408026252065e-05,0.07,0,0.2,linear,"{'C': 0.07, 'degree': 0, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
104,0.0010670900344848632,4.8408137472985416e-05,0.00035998821258544924,9.773097169148944e-06,0.05,1,0.05,linear,"{'C': 0.05, 'degree': 1, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
152,0.0010096073150634766,4.797621659668846e-05,0.0003534555435180664,1.1091590024406048e-05,0.07,1,0.05,linear,"{'C': 0.07, 'degree': 1, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
102,0.0010514020919799804,3.3256178533185714e-05,0.00036089420318603517,1.4047710893642768e-05,0.05,0,0.2,linear,"{'C': 0.05, 'degree': 0, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
154,0.0010013818740844727,3.47154890004913e-05,0.0003542184829711914,1.728659658190288e-05,0.07,1,0.1,linear,"{'C': 0.07, 'degree': 1, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
100,0.0010512113571166993,4.0387495063275806e-05,0.0003597736358642578,8.34805555344181e-06,0.05,0,0.15,linear,"{'C': 0.05, 'degree': 0, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
66,0.0010367631912231445,2.911700013930608e-05,0.0003544807434082031,1.209362819802662e-05,0.03,2,0.1,linear,"{'C': 0.03, 'degree': 2, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
132,0.0010464906692504883,3.4413646920194427e-05,0.0003519296646118164,1.3019684748511653e-05,0.05,4,0.15,linear,"{'C': 0.05, 'degree': 4, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
182,0.0009948015213012695,2.9738596494978816e-05,0.0003558158874511719,1.5402725950110998e-05,0.07,4,0.2,linear,"{'C': 0.07, 'degree': 4, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
63,0.0010153293609619141,1.17684144832355e-05,0.0003612041473388672,1.5658129972331852e-05,0.03,1,0.2,poly,"{'C': 0.03, 'degree': 1, 'gamma': 0.2, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
30,0.0009940385818481446,1.9786745568179975e-05,0.00035440921783447266,1.1619695807082655e-05,0.01,3,0.2,linear,"{'C': 0.01, 'degree': 3, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
210,0.0011661291122436524,8.581415984163322e-05,0.00041496753692626953,4.253019249592829e-05,0.1,2,0.1,linear,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
28,0.0011076927185058594,0.00019436034065344962,0.00039441585540771483,5.999836110610842e-05,0.01,3,0.15,linear,"{'C': 0.01, 'degree': 3, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
212,0.0010603666305541992,5.4034429553954375e-05,0.00038216114044189455,2.8322772513852174e-05,0.1,2,0.15,linear,"{'C': 0.1, 'degree': 2, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
26,0.0009863853454589843,8.28297849980554e-06,0.00035176277160644533,1.846419136318557e-05,0.01,3,0.1,linear,"{'C': 0.01, 'degree': 3, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
214,0.001128411293029785,0.00011555327045290764,0.00039927959442138673,3.830505191382309e-05,0.1,2,0.2,linear,"{'C': 0.1, 'degree': 2, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
24,0.0009841680526733398,8.541543166996142e-06,0.0003512144088745117,1.3979727821068457e-05,0.01,3,0.05,linear,"{'C': 0.01, 'degree': 3, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
216,0.0010747432708740235,5.781744435128048e-05,0.0003762960433959961,1.9472551920256743e-05,0.1,3,0.05,linear,"{'C': 0.1, 'degree': 3, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
22,0.000989246368408203,1.077156037173477e-05,0.0003490447998046875,1.366078124120406e-05,0.01,2,0.2,linear,"{'C': 0.01, 'degree': 2, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
218,0.0010602474212646484,6.21646441945353e-05,0.00036869049072265627,2.017173355530432e-05,0.1,3,0.1,linear,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
20,0.0009953975677490234,3.357150330916107e-05,0.00035979747772216795,1.5871748830272432e-05,0.01,2,0.15,linear,"{'C': 0.01, 'degree': 2, 'gamma': 0.15, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
