"Name","epochs","accuracy","loss","val_loss","val_accuracy","Tags","Notes","embedding_size","hidden_dim","hidden_size","num_filters_c1","num_filters_c2","wsize_c1","wsize_c2","best_epoch","best_val_loss","epoch","Runtime"
"WordRNN Q6b-2 SC2","100","0.981428563594818","0.06006057560443878","0.9281222820281982","0.8842856884002686","6b","add more dropout","50","","20","","","","","15","0.5377042889595032","99","605"
"WordRNN Q6b-2 SC","100","0.9826785922050476","0.06524592638015747","0.7194092273712158","0.9085714221000672","6b, SC","add more dropout","50","","20","","","","","54","0.5837828516960144","99","507"
"WordRNN Q4b-2 SC","100","0.9721428751945496","0.08690721541643143","0.8428794741630554","0.8799999952316284","WordRNN","add more dropout","50","","20","","","","","19","0.45475417375564575","99","961"
"CharRNN Q3b-SC","100","0.7703571319580078","0.6650264859199524","1.2178106307983398","0.6828571557998657","SC","-","50","","20","","","","","62","1.022494196891785","90","211"
"WordRNN Q6ai","100","0.06767857074737549","2.6409060955047607","2.640169858932495","0.07285714149475098","WordRNN","-","50","","20","","","","","13","2.615739107131958","99","151"
"CharRNN Q3b-SC-2","100","0.7764285802841187","0.6814408898353577","1.192858338356018","0.7028571367263794","SC","-","50","","20","","","","","95","1.005737066268921","99","263"
"WordRNN Q4b SC2","100","0.9992856979370116","0.003263524966314435","0.46683433651924133","0.9028571248054504","4b, SC","sanity check","50","","20","","","","","71","0.340756356716156","99","777"
"WordRNN Q4b SC","100","0.9983928799629213","0.004866627976298332","0.4108103811740875","0.918571412563324","4b, SC","sanity check","50","","20","","","","","56","0.379632830619812","99","923"
"WordRNN Q6c-2","100","0.9576785564422609","0.1673135757446289","0.7967297434806824","0.8614285588264465","WordRNN","-","50","","20","","","","","20","0.4755695164203644","99","401"
"WordRNN Q6c","100","0.9796428680419922","0.048177920281887054","1.4927326440811155","0.822857141494751","WordRNN","-","50","","20","","","","","9","0.6741389036178589","99","335"
"WordRNN Q6b-2","100","0.9805356860160828","0.06477732211351395","0.9006745219230652","0.8885714411735535","6b, SC, WordRNN","add more dropout","50","","20","","","","","17","0.5235461592674255","99","493"
"WordRNN Q6b","100","0.9851785898208618","0.0444563701748848","1.714310884475708","0.8199999928474426","WordRNN","-","50","","20","","","","","9","0.625738263130188","99","483"
"WordRNN Q6aii","100","0.9992856979370116","0.003925726283341646","0.9120200276374816","0.8571428656578064","WordRNN","-","50","","20","","","","","25","0.7278376817703247","99","309"
"WordRNN Q6ai-SC","100","0.06678571552038193","2.640855073928833","2.640141248703003","0.07428571581840515","SC, WordRNN","-","50","","20","","","","","99","2.640141248703003","99","380"
"CharRNN Q6c","100","0.8882142901420593","0.352651447057724","1.0711655616760254","0.7557142972946167","CharRNN","-","50","","20","","","","","44","0.847862184047699","99","445"
"CharRNN Q6b","100","0.8683928847312927","0.40491336584091187","1.1586138010025024","0.741428554058075","CharRNN","-","50","","20","","","","","31","0.8657332062721252","99","462"
"CharRNN Q6ai-2","100","0.06035714223980904","15136824","8651415","0.058571428060531616","CharRNN","linear activation","50","","20","","","","","11","2.5976340770721436","99","148"
"CharRNN Q6aii","100","0.6123214364051819","0.994947075843811","1.2405927181243896","0.5914285778999329","CharRNN","-","50","","20","","","","","97","1.1925450563430786","99","244"
"CharRNN Q6ai","100","0.09535714238882063","2.6238133907318115","2.6063590049743652","0.10000000149011612","CharRNN","-","50","","20","","","","","7","2.5232672691345215","99","83"
"WordRNN Q4b","100","0.9989285469055176","0.004229263868182898","0.4136500358581543","0.9228571653366088","4b, Dropout, Q5, WordRNN","-","50","","20","","","","","31","0.33050212264060974","99","325"
"WordRNN Q4a","100","1","0.00005525886444956995","0.8873850107192993","0.8628571629524231","Q5, base_model","-","50","","20","","","","","7","0.4478793740272522","99","387"
"CharRNN Q3b","100","0.760357141494751","0.7226818203926086","1.0355366468429563","0.7128571271896362","CharRNN, Dropout, Q5, SC","-","50","","20","","","","","65","0.9739008545875548","99","227"
"CharRNN Q3a","100","0.9182142615318298","0.24426792562007904","1.349287748336792","0.704285740852356","Q5, base_model","-","50","10","20","","","","","53","1.0173803567886353","99","227"
"WordCNN Q2b","250","0.43392857909202576","1.51283061504364","1.602008581161499","0.4457142949104309","Dropout, Q5","-","20","","","10","10","[20,20]","[20,1]","247","1.5808746814727783","249","101"
"WordCNN Q2a","250","0.7608928680419922","0.7563631534576416","1.400278925895691","0.5442857146263123","Q5, base_model","-","20","","","10","10","[20,20]","[20,1]","247","1.3979655504226685","249","109"
"CharCNN Q1b","250","0.8316071629524231","0.5009289383888245","1.3292146921157837","0.6371428370475769","Dropout, Q5","-","","","","10","10","[20,256]","[20,1]","197","1.0730953216552734","249","118"
"CharCNN Q1a","250","0.9305357336997986","0.25498783588409424","1.2835228443145752","0.6657142639160156","Q5, base_model","-","","","","10","10","[20,256]","[20,1]","131","1.0328538417816162","249","139"